Name,Min progect size,Company Size,City,Scheduling,Quality,Cost,Cluster
DATAFOREST,-0.3229995645855195,-0.2146098381350504,4,0.6667005268261493,0.6953783326842065,0.7407082074937807,3
N-iX,2.438011997319085,2.823134563530224,5,0.6226922219446052,0.6062797834301181,0.4686113149450449,3
Cobit Solutions,-0.476389095802442,-0.2827461611630565,4,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
Mighty Digital,0.1371690290652479,-0.2827461611630565,4,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
DICEUS,-0.3229995645855195,-0.2146098381350504,4,0.6667005268261493,0.6953783326842065,0.6046597612194126,3
Sigma Software Group,0.9041166851498604,2.823134563530224,5,0.6226922219446052,0.6062797834301181,0.4232618328535891,3
ITRex Group,0.1371690290652479,0.0550964405174739,4,0.6667005268261493,0.5617305088030737,0.6500092433108687,3
Intelliarts,0.9041166851498604,-0.2146098381350504,5,0.6667005268261493,0.7399276073112505,0.6500092433108687,3
Symphony Solutions,0.1371690290652479,0.0550964405174739,5,0.6226922219446052,0.6508290580571621,0.6046597612194126,3
NNPARTNERS,-0.476389095802442,-0.2827461611630565,0,0.7107088317076932,0.6953783326842065,0.7860576895852365,0
Roman.ua,-0.476389095802442,-0.2827461611630565,4,0.7107088317076932,0.7399276073112505,0.6953587254023246,3
Dot Analytics,-0.476389095802442,-0.2827461611630565,4,0.7107088317076932,0.5617305088030737,0.7860576895852365,3
Softkit,0.1371690290652479,-0.2827461611630565,10,0.6667005268261493,0.6508290580571621,0.6046597612194126,2
DataRoot Labs,-0.3229995645855195,-0.2827461611630565,4,0.7107088317076932,0.6508290580571621,0.7407082074937807,3
blackthorn.ai,-0.476389095802442,-0.2827461611630565,5,0.7107088317076932,0.7399276073112505,0.7407082074937807,3
Ciklum,0.1371690290652479,2.823134563530224,8,0.6226922219446052,0.6062797834301181,0.1965144223963095,2
Jelvix,0.9041166851498604,-0.2146098381350504,3,0.6667005268261493,0.7399276073112505,0.7407082074937807,3
Mappitall,-0.3229995645855195,-0.2827461611630565,5,0.6226922219446052,0.5171812341760298,0.5593102791279568,3
Zoolatech,2.438011997319085,0.0550964405174739,4,0.6667005268261493,0.6953783326842065,0.6046597612194126,3
Data Science UA,-0.3229995645855195,-0.2146098381350504,4,0.6667005268261493,0.7399276073112505,0.6953587254023246,3
BIOS. Power BI development,-0.59910072077598,-0.2827461611630565,4,0.6667005268261493,0.7399276073112505,0.7407082074937807,3
GT,0.1371690290652479,-0.2146098381350504,4,0.6226922219446052,0.6508290580571621,0.4232618328535891,3
quda,-0.476389095802442,-0.2827461611630565,5,0.7107088317076932,0.6953783326842065,0.7407082074937807,3
Beards analytics,-0.3229995645855195,-0.2963734257686578,4,0.7107088317076932,0.7399276073112505,0.7407082074937807,3
OntargIT,0.1371690290652479,-0.2146098381350504,4,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
DeepInspire,0.1371690290652479,-0.2827461611630565,5,0.7107088317076932,0.6953783326842065,0.7407082074937807,3
The APP Solutions,-0.3229995645855195,-0.2146098381350504,4,0.6226922219446052,0.6062797834301181,0.6953587254023246,3
JEVERA Software Solutions,0.9041166851498604,-0.2146098381350504,4,0.6226922219446052,0.5617305088030737,0.5139607970365011,3
GroupBWT,-0.476389095802442,-0.2146098381350504,10,0.6667005268261493,0.7399276073112505,0.7407082074937807,2
Quantum,0.9041166851498604,-0.2146098381350504,5,0.7107088317076932,0.6953783326842065,0.6046597612194126,3
Spaceport,-0.476389095802442,-0.2827461611630565,3,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
DataLabs,-0.476389095802442,-0.2827461611630565,1,0.6226922219446052,0.6508290580571621,0.7860576895852365,0
Power-UP: Marketing Perfomance Agency,-0.476389095802442,-0.2963734257686578,4,0.6667005268261493,0.7399276073112505,0.7860576895852365,3
AM-BITS,0.9041166851498604,-0.2146098381350504,4,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
CRMOZ,-0.476389095802442,-0.2827461611630565,4,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
UDEV HUB,0.1371690290652479,0.0550964405174739,4,0.6667005268261493,0.5171812341760298,0.7860576895852365,3
Flyaps,0.1371690290652479,-0.2827461611630565,0,0.6226922219446052,0.5617305088030737,0.7860576895852365,0
Vantino,-0.476389095802442,-0.2827461611630565,4,0.7107088317076932,0.5171812341760298,0.7860576895852365,3
PROBEGIN,-0.3229995645855195,-0.2146098381350504,5,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
SoftElegance,-0.3229995645855195,-0.2827461611630565,4,0.5346756121815172,0.5171812341760298,0.6046597612194126,3
InSpirito,-0.3229995645855195,-0.2827461611630565,5,0.6226922219446052,0.6508290580571621,0.7407082074937807,3
InTech Partner,-0.3229995645855195,-0.2827461611630565,4,0.7107088317076932,0.7399276073112505,0.3325628686706772,3
Ensocore,-0.476389095802442,-0.2827461611630565,4,0.7107088317076932,0.7399276073112505,0.7407082074937807,3
Postdata,-0.3229995645855195,-0.2963734257686578,4,0.7107088317076932,0.7399276073112505,0.5593102791279568,3
Global Mediator,-0.59910072077598,-0.2146098381350504,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
GreenM,2.438011997319085,-0.2146098381350504,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Modex Analytics,-0.3229995645855195,-0.2827461611630565,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
IWIS UKRAINE LLC,-0.3229995645855195,-0.2146098381350504,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Team Rainmakers,-0.3229995645855195,-0.2827461611630565,5,0.5786839170630613,0.5617305088030737,0.7407082074937807,3
Dedicatted,0.1371690290652479,-0.2146098381350504,5,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
Custom Solutions,-0.3229995645855195,-0.2827461611630565,1,0.6226922219446052,0.6508290580571621,0.6953587254023246,0
Smart Rockstars,0.1371690290652479,-0.2827461611630565,5,0.6226922219446052,0.5617305088030737,0.6953587254023246,3
WeOne,-0.6297786270193645,-0.2827461611630565,5,0.7107088317076932,0.7399276073112505,0.6953587254023246,3
Opinov8 Technology Services,0.9041166851498604,0.0550964405174739,4,0.6226922219446052,0.5171812341760298,0.5139607970365011,3
Prostir,-0.3229995645855195,-0.2963734257686578,4,0.7107088317076932,0.7399276073112505,0.5593102791279568,3
Dex Technologies,-0.476389095802442,-0.2963734257686578,4,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
MouseOver,0.1371690290652479,-0.2963734257686578,5,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
BIOS LLC,-0.59910072077598,-0.2963734257686578,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
abstractR,0.1371690290652479,-0.2827461611630565,4,0.6667005268261493,0.7399276073112505,0.6046597612194126,3
Amazinum,-0.59910072077598,-0.2146098381350504,9,0.7107088317076932,0.7399276073112505,0.7860576895852365,2
Keel Solution,-0.3229995645855195,-0.2146098381350504,6,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
ScalHive LLC,-0.3229995645855195,-0.2827461611630565,9,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,2
Oriented Soft AS,-0.3229995645855195,-0.2146098381350504,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Zapalean,-0.59910072077598,-0.2963734257686578,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
GiniAnalytics,-0.3229995645855195,-0.2827461611630565,0,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,0
pwrteams,-0.476389095802442,0.0550964405174739,4,0.6226922219446052,0.5617305088030737,0.4686113149450449,3
WorkNest,-0.6297786270193645,-0.2146098381350504,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Adimen,-0.476389095802442,-0.2827461611630565,7,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,2
Quontex,-0.3229995645855195,-0.2146098381350504,8,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,2
Datrock,-0.59910072077598,-0.2963734257686578,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
aimap,-0.476389095802442,-0.2827461611630565,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Allatrack,0.1371690290652479,-0.2827461611630565,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Datagazer,-0.3229995645855195,-0.2963734257686578,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Vodworks,0.9041166851498604,-0.2146098381350504,5,0.7107088317076932,0.7399276073112505,0.7860576895852365,3
Rework-Space,-0.3229995645855195,-0.2963734257686578,9,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,2
Gyrus LLC,-0.6297786270193645,-0.2963734257686578,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Envion Software,-0.6297786270193645,-0.2146098381350504,3,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
TageSpot,0.1371690290652479,-0.2827461611630565,5,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Future Processing,0.1371690290652479,0.0550964405174739,9,0.5786839170630613,0.5617305088030737,0.5139607970365011,2
Videal,-0.6297786270193645,-0.2827461611630565,3,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
NetLS Software Development,-0.6297786270193645,-0.2827461611630565,2,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Bluepes,-0.6297786270193645,-0.2827461611630565,5,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
2021.AI,0.1371690290652479,-0.2146098381350504,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
Vitasoft Ukraine,-0.6297786270193645,-0.2963734257686578,4,-1.4897064123695056,-1.4875361240409568,-1.4814164149875595,1
